time step,resource value
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,-1
165,-1
166,-1
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,-1
183,-1
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,-1
219,-1
220,-1
221,-1
222,-1
223,-1
224,-1
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,-1
282,-1
283,-1
284,-1
285,-1
286,-1
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,-1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,48
373,48
374,48
375,48
376,48
377,48
378,48
379,48
380,48
381,48
382,48
383,48
384,48
385,48
386,48
387,48
388,48
389,48
390,48
391,48
392,48
393,48
394,48
395,48
396,48
397,48
398,48
399,48
400,48
401,48
402,48
403,48
404,48
405,48
406,48
407,48
408,48
409,48
410,48
411,48
412,48
413,48
414,48
415,48
416,48
417,48
418,48
419,48
420,48
421,48
422,48
423,48
424,48
425,48
426,48
427,48
428,48
429,48
430,48
431,48
432,133
433,133
434,133
435,133
436,133
437,133
438,133
439,133
440,133
441,133
442,133
443,133
444,133
445,133
446,133
447,133
448,133
449,133
450,133
451,133
452,133
453,133
454,133
455,133
456,133
457,133
458,133
459,133
460,133
461,133
462,133
463,133
464,133
465,133
466,133
467,133
468,133
469,133
470,133
471,133
472,133
473,133
474,133
475,133
476,133
477,133
478,133
479,133
480,133
481,133
482,133
483,133
484,133
485,133
486,133
487,133
488,133
489,133
490,133
491,133
492,155
493,155
494,155
495,155
496,155
497,155
498,155
499,155
500,155
501,155
502,155
503,155
504,155
505,155
506,155
507,155
508,155
509,155
510,155
511,155
512,155
513,155
514,155
515,155
516,155
517,155
518,155
519,155
520,155
521,155
522,155
523,155
524,155
525,155
526,155
527,155
528,155
529,155
530,155
531,155
532,155
533,155
534,155
535,155
536,155
537,155
538,155
539,155
540,155
541,155
542,155
543,155
544,155
545,155
546,155
547,155
548,155
549,155
550,155
551,155
552,165
553,165
554,165
555,165
556,165
557,165
558,165
559,165
560,165
561,165
562,165
563,165
564,165
565,165
566,165
567,165
568,165
569,165
570,165
571,165
572,165
573,165
574,165
575,165
576,165
577,165
578,165
579,165
580,165
581,165
582,165
583,165
584,165
585,165
586,165
587,165
588,165
589,165
590,165
591,165
592,165
593,165
594,165
595,165
596,165
597,165
598,165
599,165
600,165
601,165
602,165
603,165
604,165
605,165
606,165
607,165
608,165
609,165
610,165
611,165
612,166
613,166
614,166
615,166
616,166
617,166
618,166
619,166
620,166
621,166
622,166
623,166
624,166
625,166
626,166
627,166
628,166
629,166
630,166
631,166
632,166
633,166
634,166
635,166
636,166
637,166
638,166
639,166
640,166
641,166
642,166
643,166
644,166
645,166
646,166
647,166
648,166
649,166
650,166
651,166
652,166
653,166
654,166
655,166
656,166
657,166
658,166
659,166
660,166
661,166
662,166
663,166
664,166
665,166
666,166
667,166
668,166
669,166
670,166
671,166
672,165
673,165
674,165
675,165
676,165
677,165
678,165
679,165
680,165
681,165
682,165
683,165
684,165
685,165
686,165
687,165
688,165
689,165
690,165
691,165
692,165
693,165
694,165
695,165
696,165
697,165
698,165
699,165
700,165
701,165
702,165
703,165
704,165
705,165
706,165
707,165
708,165
709,165
710,165
711,165
712,165
713,165
714,165
715,165
716,165
717,165
718,165
719,165
720,165
721,165
722,165
723,165
724,165
725,165
726,165
727,165
728,165
729,165
730,165
731,165
732,166
733,166
734,166
735,166
736,166
737,166
738,166
739,166
740,166
741,166
742,166
743,166
744,166
745,166
746,166
747,166
748,166
